料理名,説明,材料,手順,カロリー,タンパク質,脂質,炭水化物,カテゴリ,画像パス
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",627,25.3,22.3,70.8,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",603,36.4,18.7,67.7,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",628,19.3,24.2,82.2,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",621,25.0,22.0,70.1,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",556,33.6,17.3,62.3,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",681,21.0,26.2,89.1,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",649,26.2,23.0,73.3,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",555,33.5,17.3,62.3,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",650,20.0,25.0,85.1,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",649,26.2,23.1,73.4,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",557,33.6,17.3,62.5,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",646,19.9,24.8,84.5,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",643,26.0,22.8,72.7,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",585,35.3,18.2,65.6,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",660,20.3,25.4,86.4,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",627,25.3,22.2,70.8,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",571,34.5,17.7,64.0,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",645,19.9,24.8,84.4,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",608,24.5,21.6,68.6,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",560,33.8,17.4,62.8,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",619,19.1,23.8,81.0,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",640,25.8,22.7,72.4,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",557,33.6,17.3,62.4,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",662,20.4,25.5,86.6,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",592,23.9,21.0,66.9,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",553,33.4,17.2,62.0,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",635,19.6,24.4,83.1,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",610,24.6,21.7,68.9,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",576,34.8,17.9,64.7,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",649,20.0,25.0,84.9,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",641,25.9,22.8,72.4,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",575,34.7,17.9,64.5,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",645,19.9,24.8,84.4,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",609,24.6,21.6,68.8,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",596,36.0,18.5,66.8,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",626,19.3,24.1,82.0,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",607,24.5,21.5,68.6,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",562,33.9,17.4,63.0,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",648,19.9,24.9,84.7,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",604,24.4,21.5,68.3,lunch,
